freq,X_800us_loaded_9,Y_800us_loaded_9,Z_800us_loaded_9
0,2.6079e-16,3.6648e-16,1.3396e-15
0.97656,0.00015615,0.00031324,0.00016747
1.9531,0.00017028,0.00014347,9.4626e-06
2.9297,0.00010027,0.00066114,0.00033368
3.9063,0.00013404,0.00031799,0.00010712
4.8828,0.0001342,0.00043218,0.00020482
5.8594,0.00019212,0.00020757,7.5502e-05
6.8359,0.0001523,0.0009134,0.00078566
7.8125,0.00015091,0.00042879,0.00039196
8.7891,0.00015724,0.0004367,0.00031012
9.7656,0.00016019,0.00031272,0.00030304
10.742,0.00012618,0.00020432,0.0005044
11.719,0.00020391,0.0017875,0.0007252
12.695,0.00022585,0.00031833,0.00012539
13.672,0.00026224,0.00053832,0.0004174
14.648,3.4681e-05,0.00010777,8.9716e-05
15.625,7.8803e-05,0.00083097,0.00018731
16.602,0.00024657,0.00047466,0.00050217
17.578,0.00012313,0.0012097,0.00066595
18.555,0.00052439,0.0094257,0.002738
19.531,0.00010507,0.0022984,0.00047018
20.508,6.1462e-05,0.0015867,0.0001948
21.484,0.000184,0.00041463,0.00055189
22.461,0.00010335,0.00063851,0.00028384
23.438,0.00011829,0.00029631,7.8389e-05
24.414,0.00034347,0.00114,0.00022717
25.391,0.00030069,0.0011592,0.00014927
26.367,4.0275e-05,0.00047414,0.000413
27.344,3.2258e-05,0.00014783,0.00039578
28.32,0.00016087,0.00026947,0.00023122
29.297,8.0254e-05,0.00042626,0.00019757
30.273,0.00015738,0.0010693,0.0011831
31.25,3.4058e-05,0.00030202,0.00045832
32.227,0.00034392,0.0002828,0.00012581
33.203,0.00011093,7.7969e-05,0.00034654
34.18,0.00019268,0.00038903,0.00051838
35.156,0.00057637,0.00040499,0.00065141
36.133,0.00026761,0.00076401,0.00094084
37.109,0.0006798,0.00045384,0.0019032
38.086,0.00036815,0.00062954,0.0011201
39.063,0.00014751,0.00025928,0.00036394
40.039,0.00011348,0.00042248,0.00080997
41.016,0.00024526,0.00011996,0.0009313
41.992,0.00012267,0.00031125,0.00016038
42.969,0.00027189,0.00079928,0.00030349
43.945,0.00071288,0.0042787,0.0011156
44.922,0.00018003,0.0016587,0.00018922
45.898,0.00016578,0.00094662,0.00039052
46.875,0.00013582,0.00028586,0.00029115
47.852,0.00015634,0.00056052,0.00028232
48.828,0.00011523,0.0027824,0.0016852
49.805,0.000319,0.0025863,0.0011921
50.781,0.00019815,0.00079023,0.00051731
51.758,5.8928e-05,0.00041239,0.00027627
52.734,8.6609e-05,0.00054548,0.00033984
53.711,0.00015182,0.00045566,0.00086171
54.688,0.00032655,0.00098709,0.0011322
55.664,0.00049176,0.00023803,0.0017024
56.641,0.00043479,0.00043834,0.0016137
57.617,5.9547e-05,0.0005135,0.00044577
58.594,8.9901e-05,0.00040087,0.00021687
59.57,0.00011066,0.0008251,0.00058562
60.547,9.155e-05,5.3165e-05,0.0004926
61.523,5.3079e-05,0.00074887,0.00029065
62.5,8.4753e-05,0.0018465,0.0017178
63.477,4.5076e-05,0.0011338,0.001413
64.453,0.00014662,0.00074819,8.0607e-05
65.43,4.5701e-05,0.00089196,0.00049353
66.406,6.2108e-05,0.00043997,0.00071059
67.383,0.00042769,0.00070516,0.00083838
68.359,0.00017751,0.0019257,0.0011618
69.336,0.00042911,0.00020207,0.00068333
70.313,0.00022772,0.00034576,0.00045604
71.289,0.00027496,0.00057587,0.00035734
72.266,0.0002357,0.00033656,0.00028105
73.242,0.00049597,0.00082953,0.0012148
74.219,0.00097665,0.00017787,0.0022221
75.195,0.0012423,0.0010255,0.0060062
76.172,0.00073786,0.0010334,0.002678
77.148,5.9977e-05,0.0016629,0.0018599
78.125,0.00030761,0.0022488,0.0011756
79.102,0.00075451,0.0023508,0.0021972
80.078,0.00068796,0.002933,0.0018701
81.055,0.0021381,0.0079358,0.0049484
82.031,0.0025892,0.010157,0.0073633
83.008,0.00087688,0.0030341,0.0034618
83.984,0.00042555,0.001499,0.00066954
84.961,0.00029325,0.00084832,0.00051967
85.938,0.00046966,0.001143,0.0013699
86.914,0.000468,0.00080641,0.00093232
87.891,0.0003367,0.00085773,0.0013661
88.867,0.00014659,0.00056497,0.00014102
89.844,0.0006049,0.00054663,0.0032017
90.82,0.00033477,0.0011552,0.0010252
91.797,0.00021016,0.00017375,0.00068072
92.773,0.00053636,0.00073201,0.0029116
93.75,0.00035219,0.0004849,0.0018337
94.727,0.00014237,0.00035542,0.00080581
95.703,0.00012911,0.0013104,0.0010917
96.68,0.00027622,0.0013118,0.0019549
97.656,0.00029224,0.00018745,0.0010437
98.633,0.00017601,0.00050308,0.0017508
99.609,0.00010476,0.00096734,0.00060337
100.59,0.00054344,0.0021284,0.00072007
101.56,0.00024824,0.00031527,0.0009948
102.54,0.0005904,0.00050406,0.0032047
103.52,0.0003458,0.00024237,0.0017543
104.49,0.00086318,0.00053381,0.005316
105.47,0.00075014,0.00033591,0.0025935
106.45,0.00067896,0.0013047,0.0028662
107.42,0.00036021,0.00027875,0.0014206
108.4,0.00041165,0.00020058,0.0012881
109.38,0.00033761,0.00044947,0.0015119
110.35,0.00051868,0.00058427,0.0018865
111.33,0.00052294,7.7252e-05,0.0028151
112.3,0.00040864,0.00021063,0.0027128
113.28,0.00033002,0.00028032,0.0014474
114.26,0.00068618,0.0013256,0.002176
115.23,0.00043171,0.00079268,0.0017924
116.21,0.00045725,0.00032236,0.00202
117.19,0.00047396,0.00022634,0.0012444
118.16,9.4136e-05,0.00064743,0.0003598
119.14,0.0025201,0.0037978,0.0042481
120.12,0.00022954,0.00031187,0.00068686
121.09,8.844e-05,0.00063421,0.000249
122.07,7.0746e-05,0.00011729,0.0001739
123.05,5.0552e-05,0.0003599,0.00064551
124.02,0.00016882,0.00082665,0.00027332
125,6.0587e-05,0.00032488,0.00061351
125.98,0.00020928,0.00047863,0.00021589
126.95,2.1173e-05,0.00017319,0.00011921
127.93,0.00014728,0.00075443,0.00042726
128.91,2.464e-05,0.00031486,0.00038748
129.88,0.00013129,0.00032173,0.0003438
130.86,0.00028988,0.00037237,0.00016689
131.84,7.9981e-05,0.00054451,0.00027831
132.81,0.00032375,0.0014072,0.00044005
133.79,0.00010707,0.00062584,0.00026989
134.77,0.00017311,0.00093984,0.00066173
135.74,0.0001831,0.0004179,0.0002031
136.72,0.00026478,0.00062927,8.1747e-05
137.7,0.000286,0.00059684,0.00062256
138.67,0.00010057,0.00044092,0.00011667
139.65,0.00018864,0.00019962,0.00055694
140.63,6.4289e-05,0.00065057,0.00029678
141.6,9.3708e-05,0.00054823,0.00045531
142.58,0.00017155,0.0011358,0.0008196
143.55,0.00063039,0.0021492,0.002062
144.53,0.00046697,0.0013862,0.00072434
145.51,3.7195e-05,0.00026189,0.00027183
146.48,0.00013885,0.00010131,0.00024308
147.46,0.00010518,0.0001528,0.00018914
148.44,0.00015384,0.00047357,0.00074072
149.41,4.7788e-05,0.0005047,0.00049622
150.39,0.00023487,0.00022539,0.0010305
151.37,6.348e-05,0.00054304,0.00043841
152.34,5.0107e-05,0.00046526,0.00032804
153.32,0.00014024,0.00071506,0.00057633
154.3,4.9293e-05,0.00037217,0.00029221
155.27,0.00027746,0.00058677,0.00033825
156.25,0.00063769,0.00059523,0.00089138
157.23,0.00049449,0.00045529,0.00040998
158.2,0.00024038,0.00028919,0.00024407
159.18,0.00027391,0.00020367,0.00023712
160.16,0.0001734,0.00023731,0.00022061
161.13,0.00011353,0.00034146,0.00034872
162.11,0.00032156,0.001206,0.0010677
163.09,0.0015434,0.0025692,0.0014425
164.06,0.00036016,0.00075642,0.00023714
165.04,0.00037663,0.00041123,9.4065e-05
166.02,7.2788e-05,0.00046832,0.00052949
166.99,0.00017241,0.00073106,0.00072937
167.97,0.00020433,0.00051313,0.00049693
168.95,5.3661e-05,0.00059367,0.00063487
169.92,0.00020392,0.00012483,0.00025425
170.9,0.00010126,3.2332e-05,0.00028491
171.88,9.6922e-05,0.00061045,0.00044276
172.85,0.00015969,0.00034288,0.00015803
173.83,0.00023619,0.00036332,0.00023684
174.8,0.00021847,0.00029489,0.00032612
175.78,0.00010444,0.00066262,0.0006191
176.76,0.00014697,0.00021532,0.00017552
177.73,8.6142e-05,0.00013402,0.0001743
178.71,0.00021107,0.00022476,0.00012862
179.69,0.00023901,0.00018485,8.1054e-05
180.66,0.00027246,0.00044248,0.00037799
181.64,0.00094118,0.00096986,0.0016883
182.62,0.00068799,0.00037298,0.0011342
183.59,0.00020356,0.00032873,0.00049008
184.57,0.00025332,0.00025258,0.00041812
185.55,0.00035032,0.00035953,0.00052068
186.52,0.00018554,0.00067824,0.00051824
187.5,0.0011438,0.0037322,0.00022617
188.48,0.00015501,0.00064796,9.7244e-05
189.45,0.00018391,0.00064035,0.00039009
190.43,0.00013624,0.00032722,0.00040104
191.41,8.8861e-05,0.00074729,0.00032617
192.38,0.00036542,0.0013569,0.00025251
193.36,0.00012506,0.00025951,0.00020978
194.34,0.00025934,0.0014748,0.00072774
195.31,0.00034943,0.00031087,0.00032094
196.29,0.00010225,0.00012881,0.00024645
197.27,4.5321e-05,0.00042055,0.0001952
198.24,0.00017093,0.00036148,0.00029153
199.22,0.00017265,0.00019288,0.0001538
200.2,0.00038951,0.0012791,9.1518e-05
201.17,0.00078423,0.00011802,0.0001448
202.15,0.00013923,0.00029991,0.00010374
203.13,0.00013281,0.00092712,0.00025752
204.1,0.00012872,0.00063531,2.1063e-05
205.08,0.00026226,0.0010857,0.00026334
206.05,0.0013734,0.0067351,0.0011124
207.03,0.0001093,0.00097524,7.2698e-05
208.01,0.00021517,2.2455e-05,0.00011948
208.98,6.7848e-05,0.00053233,9.7233e-05
209.96,0.00019772,0.00053721,0.00035972
210.94,0.00021044,0.00069691,4.4701e-05
211.91,7.5258e-05,0.00055299,0.00035027
212.89,0.00063515,0.0040541,0.0015932
213.87,0.00011714,0.00051161,0.00011752
214.84,0.00017547,0.00061566,4.9869e-05
215.82,0.0003212,0.0014165,0.00014378
216.8,0.0001811,0.00039694,0.00029223
217.77,0.00027559,0.00094835,0.00034217
218.75,8.7558e-05,0.00071232,0.00032608
219.73,0.00020386,0.00096285,0.00048133
220.7,0.00018679,0.00021275,0.00033527
221.68,8.1657e-05,9.5614e-05,0.00059795
222.66,0.00023048,0.0010574,0.00083686
223.63,7.2509e-05,0.0011177,0.0014184
224.61,0.00071529,0.0057142,0.0065668
225.59,0.0004156,0.0029785,0.0030293
226.56,0.00013121,0.0010949,0.0012162
227.54,0.00026326,0.00073713,0.00079055
228.52,0.00020954,0.00045005,0.0008635
229.49,0.0012757,0.0018526,0.00056656
230.47,0.00059059,0.0014631,0.00039884
231.45,0.00025302,0.0012798,0.00036065
232.42,0.00025938,0.00083969,0.00043959
233.4,0.00017119,0.00027931,0.00058408
234.38,8.5167e-05,0.00030694,0.00031872
235.35,0.00023595,0.001032,0.00031609
236.33,0.00027971,0.00013012,0.00039066
237.3,0.00016551,0.0011954,0.00054304
238.28,0.00045327,0.0011482,0.00053566
239.26,0.00076786,0.0012743,0.00040883
240.23,0.00081026,0.0021558,0.00072845
241.21,0.0012362,0.0024737,0.00079145
242.19,0.0018551,0.0044254,0.0016693
243.16,0.005454,0.013225,0.0048139
244.14,0.0055735,0.012883,0.004733
245.12,0.0019959,0.0044444,0.0015804
246.09,0.0011726,0.002105,0.00083194
247.07,0.00089625,0.0016964,0.00070212
248.05,0.00081058,0.00080906,0.0004837
249.02,0.00019169,0.0012968,0.00056719
250,0.00043481,0.0018323,0.00087499
250.98,0.00058569,0.0019037,0.00068314
251.95,0.00030598,0.0011901,0.00031116
252.93,0.00050828,0.001111,0.00051308
253.91,0.00032999,0.00058821,0.00030292
254.88,0.00025876,0.00056669,9.7425e-05
255.86,0.00030379,0.0013916,0.00054055
256.84,0.00026655,0.0011176,0.00045228
257.81,0.00032387,0.00056427,8.6382e-05
258.79,0.00033022,0.00099222,0.00026527
259.77,0.00045453,0.0011922,0.00022216
260.74,0.00066216,0.0019737,0.00064855
261.72,0.0015237,0.0046535,0.0012712
262.7,0.0035101,0.0096034,0.0025292
263.67,0.00074814,0.0021065,0.00065909
264.65,0.00042683,0.0011482,0.00018835
265.63,0.00027727,0.00077592,7.5233e-05
266.6,8.965e-05,0.00064657,0.00014575
267.58,0.00030555,0.00053509,0.00021959
268.55,0.00035293,0.0019279,0.00064031
269.53,0.00019751,0.0013988,0.00074787
270.51,6.5493e-05,0.00052425,0.00014414
271.48,0.00016953,0.0011513,4.5831e-05
272.46,0.00024679,0.00054111,0.00018099
273.44,0.000205,0.00042804,0.00010262
274.41,9.8861e-05,0.00053993,0.00026768
275.39,0.0001915,0.0003348,0.00020621
276.37,0.00054494,0.0026685,0.00051533
277.34,2.8679e-05,0.00025696,5.6612e-05
278.32,2.4737e-05,0.00085702,0.0002826
279.3,9.8949e-05,0.00022334,7.0207e-05
280.27,0.00011264,0.00063659,0.00012202
281.25,0.0014904,0.0058437,0.0022055
282.23,2.9065e-05,0.0013133,0.00047309
283.2,0.00025727,0.00062929,0.00020203
284.18,3.5562e-05,0.00054199,0.00041526
285.16,2.7642e-05,0.00085675,0.00034145
286.13,0.00019461,0.0023779,0.00052672
287.11,0.00025729,0.0015113,0.00032109
288.09,0.00011341,0.002149,0.00056925
289.06,9.0299e-05,9.2495e-05,0.00018329
290.04,0.00016101,0.0006992,0.00010346
291.02,0.00016244,0.00057773,0.00025092
291.99,0.000192,0.00043494,0.00016918
292.97,0.00017043,0.00028435,0.00041235
293.95,0.00046339,0.0011627,0.00019281
294.92,0.0002802,0.0021956,0.0004152
295.9,0.00013221,0.00076489,0.00039911
296.88,4.9544e-05,0.00052246,0.00010636
297.85,7.6682e-05,0.00042697,0.00015987
298.83,0.00040021,0.0005077,0.00058114
299.8,0.0029701,0.0085014,0.0078925
300.78,9.325e-05,0.0009923,0.0007258
301.76,0.00015963,0.00058112,0.00041223
302.73,0.0001708,0.00084898,0.00069757
303.71,0.00012851,0.00089289,0.00057801
304.69,0.00030533,0.0015435,0.00066516
305.66,0.0001691,0.0011481,0.0003698
306.64,0.0010303,0.006488,0.0011765
307.62,0.00027128,0.0009657,0.00086526
308.59,0.00038178,0.00044297,0.00066347
309.57,8.0427e-05,0.00087474,0.0005384
310.55,0.00017553,0.0010302,0.00069261
311.52,0.00025342,0.00082949,0.00074828
312.5,0.0001644,0.00013964,0.00042367
313.48,0.00047802,0.00090002,0.0021915
314.45,0.00027979,0.001247,0.00093397
315.43,0.00023632,0.00057315,0.00058996
316.41,0.00036648,0.0011265,0.00050384
317.38,0.00059253,0.0016815,0.00089062
318.36,0.0017828,0.0048391,0.0029684
319.34,0.00060133,0.001363,0.0011395
320.31,0.00022933,0.00037817,0.00073087
321.29,0.00022516,0.00032536,0.0002991
322.27,0.00023693,0.00037169,0.00017346
323.24,0.00043816,0.00062484,0.00012514
324.22,0.00012865,0.00035545,0.00027641
325.2,0.0011303,0.0029821,0.00092872
326.17,0.00065501,0.00014586,0.00021797
327.15,0.00039921,0.00083997,0.00028983
328.13,0.000213,0.00095077,0.00022251
329.1,0.00013558,0.00074006,0.00011998
330.08,0.0003316,0.0003703,0.00032855
331.05,0.00032482,0.0005921,0.00059724
332.03,0.00057094,0.00095674,0.00023836
333.01,0.00078767,0.001028,0.00025155
333.98,0.00029795,0.00056049,0.00011355
334.96,0.00039017,0.00029062,0.00025543
335.94,0.00070856,0.00036721,9.2478e-05
336.91,0.0022357,0.0023545,0.0006929
337.89,0.0021929,0.0022511,0.00057323
338.87,0.0012104,0.0010889,0.000283
339.84,0.00061465,0.0009625,0.00020995
340.82,0.0007231,0.00088024,6.2533e-05
341.8,0.00031524,0.00071304,0.00022425
342.77,0.00061094,0.00063984,0.00051446
343.75,0.0019613,0.0016952,0.0024822
344.73,0.00082708,0.0010934,0.0011636
345.7,0.00018254,0.00046487,0.00047538
346.68,0.00044288,0.00088713,0.00041536
347.66,0.00029315,0.00071339,0.00038917
348.63,0.00027931,0.00024364,0.00011758
349.61,0.00032904,0.00047093,0.00038942
350.59,0.00018349,0.00026632,0.00032838
351.56,0.0005431,0.00052297,0.00029623
352.54,0.00028048,0.00032622,0.00031704
353.52,0.00035377,0.00054834,0.00035338
354.49,0.00031984,0.00039235,0.00026757
355.47,0.00051009,0.00073508,0.00027689
356.45,0.00086204,0.0012965,0.00036124
357.42,0.00059881,0.00062187,0.00014264
358.4,0.00016299,0.00059241,0.00010911
359.38,0.00023165,0.00052701,7.1736e-05
360.35,3.3518e-05,0.00031045,0.00013326
361.33,0.00037662,0.00081962,0.00013598
362.3,0.00048787,0.0018165,0.00054347
363.28,0.000552,0.0011952,0.00057984
364.26,0.00015154,0.00033927,0.00025736
365.23,0.00034729,0.00074135,0.00022114
366.21,0.00021347,0.00046489,0.00014679
367.19,0.00020772,0.00034656,0.00018551
368.16,0.00027317,0.0006115,0.0011357
369.14,0.00018909,0.00037078,0.00028637
370.12,0.00024289,0.00059845,0.00023105
371.09,2.3301e-05,0.00013726,0.00013878
372.07,7.0005e-05,0.00033602,4.7803e-05
373.05,4.9432e-05,0.0002126,0.00021272
374.02,0.00019107,0.0002048,0.00032007
375,0.00063424,0.00056251,0.00041485
375.98,0.00083881,0.00072133,7.7783e-05
376.95,9.8397e-05,5.47e-05,5.2725e-05
377.93,2.9987e-05,4.633e-05,0.00017929
378.91,0.00019092,0.00024643,4.846e-05
379.88,0.00029819,0.00060547,0.00012079
380.86,0.00041874,0.0012989,0.00031242
381.84,0.00079554,0.002204,0.00049526
382.81,0.00018427,0.00069077,0.00015702
383.79,7.7536e-05,0.00049968,0.00018961
384.77,4.7026e-05,0.00022733,3.6622e-05
385.74,2.9647e-05,0.00032066,0.00014488
386.72,3.8998e-05,0.00025469,6.6537e-05
387.7,2.897e-05,0.00020748,7.5404e-05
388.67,0.00015486,0.00047378,5.4941e-05
389.65,9.368e-05,0.00029092,0.00012601
390.63,9.2501e-05,0.00011565,5.7341e-05
391.6,5.2069e-05,0.00016626,8.6846e-05
392.58,0.0001758,0.00020148,7.5602e-05
393.55,0.0001022,0.00036636,0.00027579
394.53,0.00013775,0.00046352,0.00026018
395.51,0.00011798,0.0003241,8.0488e-05
396.48,8.5595e-05,8.0169e-05,9.0826e-05
397.46,1.8606e-05,0.00029672,4.9993e-05
398.44,9.4489e-06,9.3228e-05,7.0862e-05
399.41,0.00013826,0.00011322,0.00018597
400.39,0.00012592,9.2299e-05,7.1884e-05
401.37,6.8261e-05,0.00018268,0.00021992
402.34,0.00011936,0.00053793,0.0001624
403.32,0.00019202,0.0001979,0.00013704
404.3,3.5126e-05,0.00027598,0.00010509
405.27,7.2707e-05,0.00020004,0.00024717
406.25,0.00015644,0.00016891,0.00016513
407.23,0.0001982,0.00032085,0.00039694
408.2,2.7584e-05,0.00011954,4.8991e-05
409.18,0.00010957,0.00018892,8.2318e-05
410.16,0.00011913,0.00022128,8.1056e-05
411.13,0.00014257,0.00046719,0.00010346
412.11,0.00025812,0.00027283,0.00015148
413.09,3.926e-05,0.0003922,2.4673e-05
414.06,7.228e-05,0.00041471,4.879e-05
415.04,4.1097e-05,0.00024922,0.00014845
416.02,5.6462e-05,0.00039569,9.8012e-06
416.99,0.00011779,4.7504e-05,0.00014241
417.97,6.3648e-05,0.00033667,8.2248e-05
418.95,5.793e-05,0.00049212,0.00028238
419.92,6.2293e-05,0.00020309,9.4097e-05
420.9,0.00011785,0.0005334,0.00019248
421.88,8.1204e-05,0.00038717,0.00013392
422.85,8.014e-05,0.00034759,0.00012714
423.83,0.00019314,0.00065224,9.5997e-05
424.8,0.00045032,0.0011708,4.5238e-06
425.78,0.0021601,0.0040921,0.00035374
426.76,0.00023285,0.00046022,8.1981e-05
427.73,0.00014777,0.00037378,5.2214e-05
428.71,0.0001194,0.0001158,9.0977e-05
429.69,0.00010256,0.0002371,0.00012786
430.66,0.00020672,0.0002159,0.00011495
431.64,0.00011795,0.00020031,3.1724e-05
432.62,0.00027082,0.00018406,1.7867e-05
433.59,9.3318e-05,0.00019424,0.00020809
434.57,6.0238e-06,0.00017968,0.0002356
435.55,1.9954e-05,0.00026191,0.00018649
436.52,6.914e-05,0.00019005,6.6355e-05
437.5,0.00018896,0.00015923,0.00046572
438.48,4.4087e-05,0.00023855,0.00026138
439.45,6.2287e-05,0.00038356,0.00014547
440.43,1.11e-05,0.0002109,0.00012913
441.41,3.2565e-05,0.00010938,0.0001237
442.38,9.3384e-05,0.0004029,0.00021673
443.36,9.6478e-05,0.00012511,8.6372e-05
444.34,0.00060962,0.0022635,0.0012501
445.31,0.00015218,0.00046213,0.00010467
446.29,9.774e-05,8.8032e-05,8.2018e-05
447.27,4.6851e-05,0.00053211,0.00029559
448.24,6.1224e-05,0.00015828,0.00013314
449.22,6.2149e-05,0.00017716,0.00017516
450.2,0.00018308,0.00026537,0.00040693
451.17,0.00020369,0.00021771,5.035e-05
452.15,0.00016658,3.7143e-05,0.00018116
453.13,4.7648e-05,0.00015045,0.00021583
454.1,0.00010649,0.00047531,5.0895e-05
455.08,0.00017122,0.00071898,0.00014192
456.05,0.00016187,0.00050045,0.00022039
457.03,0.00021783,0.00022031,0.00026354
458.01,0.00014087,0.00030417,8.2292e-05
458.98,0.00018136,0.00042736,0.00019861
459.96,5.7874e-05,0.00043917,5.3511e-05
460.94,5.7364e-05,0.0007994,0.0002355
461.91,0.00013554,0.00048444,0.0002044
462.89,0.00014667,0.00056704,0.00016954
463.87,0.00012314,0.00019367,0.0001443
464.84,9.9966e-05,0.00024948,0.00014721
465.82,0.00011534,0.00050722,0.00013001
466.8,0.00011381,0.00013056,0.0001723
467.77,0.00016108,0.00084674,8.524e-05
468.75,0.00028295,0.0017117,0.00065312
469.73,0.00012528,0.00049008,0.00011852
470.7,8.1126e-05,0.00033555,0.00032259
471.68,0.00017454,0.00015122,0.00016803
472.66,9.3949e-05,0.00026517,0.00027156
473.63,0.00055109,0.0012116,0.0005508
474.61,0.00081988,0.0026894,0.0013489
475.59,0.0010351,0.0036168,0.0019697
476.56,0.00026305,0.0013555,0.00064723
477.54,0.00021764,0.00089714,0.00041566
478.52,0.00017445,0.0004873,0.00023867
479.49,0.00020948,0.00034945,0.00018334
480.47,5.9373e-05,0.00039432,0.00037249
481.45,5.296e-05,0.00047554,0.00014366
482.42,6.0471e-05,0.00040834,0.00018937
483.4,3.4554e-05,0.00026826,7.1374e-05
484.38,0.00012625,0.00020839,8.9031e-05
485.35,0.00012266,0.00037953,9.7603e-05
486.33,8.0696e-05,0.00024601,4.1459e-05
487.3,0.00015962,0.0008915,0.00035783
488.28,0.00024188,0.00038662,6.0472e-05
489.26,9.8748e-05,0.00028819,2.2032e-05
490.23,0.00020976,0.00037858,0.00012001
491.21,0.00010546,0.00029378,7.2831e-05
492.19,0.00019369,0.0010358,0.00014907
493.16,0.00039816,0.00060834,0.00012926
494.14,0.00047826,0.00055888,0.00042764
495.12,9.7975e-05,0.00019368,1.9741e-05
496.09,5.5953e-05,0.0001381,7.8004e-05
497.07,9.0569e-05,0.00029137,0.00014371
498.05,0.00015335,0.00018668,6.031e-05
499.02,0.00014519,0.00021566,7.5665e-05
500,0.0006932,0.00037748,0.0001299
